candidate_label,warmup_conflicts,family,base_instance_id,variant,repeat_id,target_role,reference_search_ok,candidate_search_ok,search_ok_lost_vs_reference,search_ok_gained_vs_reference,candidate_search_blowup,candidate_cpu_only_win,protocol_win_search_bad_candidate,adapter_cached_decisions_delta_reference,adapter_cached_decisions_delta_candidate,adapter_cached_decisions_delta_change_vs_reference,adapter_cached_conflicts_delta_reference,adapter_cached_conflicts_delta_candidate,adapter_cached_conflicts_delta_change_vs_reference,adapter_cached_final_cpu_delta_reference,adapter_cached_final_cpu_delta_candidate,adapter_cached_final_cpu_delta_change_vs_reference,adapter_plain_protocol_delta_candidate
iter=115,1,subset_cardinality,subset_cardinality_bw12,base,0,subset_other_variant,False,False,False,False,True,False,False,18.0,13.0,-5.0,13.0,-2.0,-15.0,-0.001654,0.001167,0.002821,0.1051570677370428
iter=115,1,subset_cardinality,subset_cardinality_bw12,base,1,subset_other_variant,False,False,False,False,True,False,False,18.0,13.0,-5.0,13.0,-2.0,-15.0,0.001783,0.002056,0.000273,0.6703018205565809
iter=115,1,subset_cardinality,subset_cardinality_bw12,base,2,subset_other_variant,False,False,False,False,True,True,False,18.0,13.0,-5.0,13.0,-2.0,-15.0,0.005699,-0.0004149999999999,-0.0061139999999999,0.5104631615619063
iter=115,1,subset_cardinality,subset_cardinality_bw12,perm_seed1730,0,subset_perm_failure,False,False,False,False,True,True,False,41.0,31.0,-10.0,42.0,41.0,-1.0,-0.001526,-0.002331,-0.0008050000000000002,0.0691567473469972
iter=115,1,subset_cardinality,subset_cardinality_bw12,perm_seed1730,1,subset_perm_failure,False,False,False,False,True,True,False,41.0,31.0,-10.0,42.0,41.0,-1.0,-0.0001529999999999,-0.002401,-0.0022480000000000997,0.2641206301082372
iter=115,1,subset_cardinality,subset_cardinality_bw12,perm_seed1730,2,subset_perm_failure,False,False,False,False,True,False,False,41.0,31.0,-10.0,42.0,41.0,-1.0,0.0003279999999999,0.001036,0.0007080000000001,0.0841899216368197
iter=115,1,subset_cardinality,subset_cardinality_bw12,perm_seed1731,0,subset_other_variant,False,False,False,False,True,False,False,20.0,15.0,-5.0,20.0,23.0,3.0,0.000145,0.00054,0.000395,0.0698680942189692
iter=115,1,subset_cardinality,subset_cardinality_bw12,perm_seed1731,1,subset_other_variant,False,False,False,False,True,True,False,20.0,15.0,-5.0,20.0,23.0,3.0,-5.000000000000013e-05,-0.003321,-0.003271,0.2625216158674955
iter=115,1,subset_cardinality,subset_cardinality_bw12,perm_seed1731,2,subset_other_variant,False,False,False,False,True,True,False,20.0,15.0,-5.0,20.0,23.0,3.0,0.003929,-0.002515,-0.006444,0.0862475599246025
iter=115,3,subset_cardinality,subset_cardinality_bw12,base,0,subset_other_variant,False,False,False,False,True,True,False,50.0,37.0,-13.0,-6.0,-4.0,2.0,0.002615,-0.000801,-0.003416,0.2916966578716635
iter=115,3,subset_cardinality,subset_cardinality_bw12,base,1,subset_other_variant,False,False,False,False,True,True,False,50.0,37.0,-13.0,-6.0,-4.0,2.0,0.001686,-0.000531,-0.0022170000000000002,0.2793491755346656
iter=115,3,subset_cardinality,subset_cardinality_bw12,base,2,subset_other_variant,False,False,False,False,True,True,False,50.0,37.0,-13.0,-6.0,-4.0,2.0,-0.004012,-0.00249,0.001522,0.2455800767709016
iter=115,3,subset_cardinality,subset_cardinality_bw12,perm_seed1730,0,subset_perm_failure,False,False,False,False,True,False,False,35.0,42.0,7.0,28.0,49.0,21.0,-0.001997,0.002726,0.004723,0.3180391046680808
iter=115,3,subset_cardinality,subset_cardinality_bw12,perm_seed1730,1,subset_perm_failure,False,False,False,False,True,True,False,35.0,42.0,7.0,28.0,49.0,21.0,-0.0025269999999999,-0.001188,0.0013389999999999,0.2817805887469649
iter=115,3,subset_cardinality,subset_cardinality_bw12,perm_seed1730,2,subset_perm_failure,False,False,False,False,True,True,False,35.0,42.0,7.0,28.0,49.0,21.0,0.000237,-0.0007769999999999,-0.0010139999999999,0.1847332111671566
iter=115,3,subset_cardinality,subset_cardinality_bw12,perm_seed1731,0,subset_other_variant,False,False,False,False,True,True,False,-5.0,-15.0,-10.0,16.0,11.0,-5.0,-0.0002309999999999,-3.799999999999984e-05,0.00019299999999990015,0.3207394031417369
iter=115,3,subset_cardinality,subset_cardinality_bw12,perm_seed1731,1,subset_other_variant,False,False,False,False,True,True,False,-5.0,-15.0,-10.0,16.0,11.0,-5.0,-0.0013049999999999,-0.001323,-1.8000000000099967e-05,0.2805697590700388
iter=115,3,subset_cardinality,subset_cardinality_bw12,perm_seed1731,2,subset_other_variant,False,False,False,False,True,True,False,-5.0,-15.0,-10.0,16.0,11.0,-5.0,0.002355,-0.00035,-0.002705,0.1839247332431674
iter=50,1,subset_cardinality,subset_cardinality_bw12,base,0,subset_other_variant,False,False,False,False,True,False,False,18.0,25.0,7.0,13.0,17.0,4.0,-0.001654,0.002846,0.0045000000000000005,0.1807069438285827
iter=50,1,subset_cardinality,subset_cardinality_bw12,base,1,subset_other_variant,False,False,False,False,True,True,False,18.0,25.0,7.0,13.0,17.0,4.0,0.001783,-0.002263,-0.004046,0.3120315871717929
iter=50,1,subset_cardinality,subset_cardinality_bw12,base,2,subset_other_variant,False,False,False,False,True,False,False,18.0,25.0,7.0,13.0,17.0,4.0,0.005699,0.002798,-0.002901,0.4197437665555477
iter=50,1,subset_cardinality,subset_cardinality_bw12,perm_seed1730,0,subset_perm_failure,False,False,False,False,True,True,False,41.0,6.0,-35.0,42.0,19.0,-23.0,-0.001526,-0.0004569999999999,0.0010690000000001,0.0689773549645542
iter=50,1,subset_cardinality,subset_cardinality_bw12,perm_seed1730,1,subset_perm_failure,False,False,False,False,True,False,False,41.0,6.0,-35.0,42.0,19.0,-23.0,-0.0001529999999999,0.002349,0.0025019999999999,0.1724540808485746
iter=50,1,subset_cardinality,subset_cardinality_bw12,perm_seed1730,2,subset_perm_failure,False,False,False,False,True,False,False,41.0,6.0,-35.0,42.0,19.0,-23.0,0.0003279999999999,0.000802,0.0004740000000001,0.2935785186219811
iter=50,1,subset_cardinality,subset_cardinality_bw12,perm_seed1731,0,subset_other_variant,False,False,False,False,True,False,False,20.0,14.0,-6.0,20.0,20.0,0.0,0.000145,0.002738,0.002593,0.0690927342901825
iter=50,1,subset_cardinality,subset_cardinality_bw12,perm_seed1731,1,subset_other_variant,False,False,False,False,True,True,False,20.0,14.0,-6.0,20.0,20.0,0.0,-5.000000000000013e-05,-0.002008,-0.0019579999999999997,0.1674237866821289
iter=50,1,subset_cardinality,subset_cardinality_bw12,perm_seed1731,2,subset_other_variant,False,False,False,False,True,True,False,20.0,14.0,-6.0,20.0,20.0,0.0,0.003929,-0.00309,-0.007019,0.2896844653169512
iter=50,3,subset_cardinality,subset_cardinality_bw12,base,0,subset_other_variant,False,False,False,False,True,False,False,50.0,39.0,-11.0,-6.0,-8.0,-2.0,0.002615,0.002179,-0.0004360000000000002,0.4566040459210276
iter=50,3,subset_cardinality,subset_cardinality_bw12,base,1,subset_other_variant,False,False,False,False,True,False,False,50.0,39.0,-11.0,-6.0,-8.0,-2.0,0.001686,0.0006029999999999,-0.0010830000000001,0.3391585459831953
iter=50,3,subset_cardinality,subset_cardinality_bw12,base,2,subset_other_variant,False,False,False,False,True,False,False,50.0,39.0,-11.0,-6.0,-8.0,-2.0,-0.004012,0.002371,0.006383,0.600246033729136
iter=50,3,subset_cardinality,subset_cardinality_bw12,perm_seed1730,0,subset_perm_failure,False,False,False,False,True,False,False,35.0,46.0,11.0,28.0,43.0,15.0,-0.001997,0.0016109999999999,0.0036079999999999003,0.1033493213537335
iter=50,3,subset_cardinality,subset_cardinality_bw12,perm_seed1730,1,subset_perm_failure,False,False,False,False,True,False,False,35.0,46.0,11.0,28.0,43.0,15.0,-0.0025269999999999,0.001299,0.0038259999999999,0.2631740178502202
iter=50,3,subset_cardinality,subset_cardinality_bw12,perm_seed1730,2,subset_perm_failure,False,False,False,False,True,False,False,35.0,46.0,11.0,28.0,43.0,15.0,0.000237,0.000955,0.000718,0.0743308810589909
iter=50,3,subset_cardinality,subset_cardinality_bw12,perm_seed1731,0,subset_other_variant,False,False,False,False,True,True,False,-5.0,-15.0,-10.0,16.0,11.0,-5.0,-0.0002309999999999,-0.0002919999999999,-6.099999999999999e-05,0.1033607612601518
iter=50,3,subset_cardinality,subset_cardinality_bw12,perm_seed1731,1,subset_other_variant,False,False,False,False,True,False,False,-5.0,-15.0,-10.0,16.0,11.0,-5.0,-0.0013049999999999,0.00087,0.0021749999999999,0.2653187425779104
iter=50,3,subset_cardinality,subset_cardinality_bw12,perm_seed1731,2,subset_other_variant,False,False,False,False,True,False,False,-5.0,-15.0,-10.0,16.0,11.0,-5.0,0.002355,0.000928,-0.0014269999999999999,0.0725154608225226
iter=80,1,subset_cardinality,subset_cardinality_bw12,base,0,subset_other_variant,False,False,False,False,True,False,False,18.0,6.0,-12.0,13.0,-5.0,-18.0,-0.001654,0.002183,0.003837,0.3685011543881892
iter=80,1,subset_cardinality,subset_cardinality_bw12,base,1,subset_other_variant,False,False,False,False,True,False,False,18.0,6.0,-12.0,13.0,-5.0,-18.0,0.001783,0.000669,-0.001114,0.1022338718275426
