warmup_conflicts,base_instance_id,variant,repeat_id,candidate_label_reference,source_csv_reference,instance_id_reference,family_reference,control_type_reference,scale_reference,benchmark_role_reference,symmetry_strength_reference,num_vars_reference,num_clauses_reference,final_cpu_lim_reference,warmup_cpu_lim_reference,checkpoint_reference,known_expected_result_reference,event_adapter_final_known_expected_match_reference,event_adapter_final_final_solved_reference,adapter_cached_decisions_delta_reference,adapter_cached_conflicts_delta_reference,adapter_cached_final_cpu_delta_reference,adapter_cached_protocol_delta_reference,adapter_plain_final_cpu_delta_reference,adapter_plain_protocol_delta_reference,warmup_cpu_time_reference,warmup_conflict_count_reference,warmup_decisions_reference,event_state_l2_sum_reference,event_state_nonzero_vars_reference,event_adapter_graph_gate_evidence_reference,adapter_inference_wall_time_reference,plain_unguided_glucose_final_cpu_time_reference,plain_unguided_glucose_final_decisions_reference,plain_unguided_glucose_final_conflicts_reference,cached_trace_no_adapter_final_final_cpu_time_reference,cached_trace_no_adapter_final_final_decisions_reference,cached_trace_no_adapter_final_final_conflicts_reference,event_adapter_final_final_cpu_time_reference,event_adapter_final_final_decisions_reference,event_adapter_final_final_conflicts_reference,search_ok_reference,search_blowup_reference,cpu_only_win_reference,protocol_only_win_reference,random_control_reference,target_role_reference,candidate_label_candidate,source_csv_candidate,instance_id_candidate,family_candidate,control_type_candidate,scale_candidate,benchmark_role_candidate,symmetry_strength_candidate,num_vars_candidate,num_clauses_candidate,final_cpu_lim_candidate,warmup_cpu_lim_candidate,checkpoint_candidate,known_expected_result_candidate,event_adapter_final_known_expected_match_candidate,event_adapter_final_final_solved_candidate,adapter_cached_decisions_delta_candidate,adapter_cached_conflicts_delta_candidate,adapter_cached_final_cpu_delta_candidate,adapter_cached_protocol_delta_candidate,adapter_plain_final_cpu_delta_candidate,adapter_plain_protocol_delta_candidate,warmup_cpu_time_candidate,warmup_conflict_count_candidate,warmup_decisions_candidate,event_state_l2_sum_candidate,event_state_nonzero_vars_candidate,event_adapter_graph_gate_evidence_candidate,adapter_inference_wall_time_candidate,plain_unguided_glucose_final_cpu_time_candidate,plain_unguided_glucose_final_decisions_candidate,plain_unguided_glucose_final_conflicts_candidate,cached_trace_no_adapter_final_final_cpu_time_candidate,cached_trace_no_adapter_final_final_decisions_candidate,cached_trace_no_adapter_final_final_conflicts_candidate,event_adapter_final_final_cpu_time_candidate,event_adapter_final_final_decisions_candidate,event_adapter_final_final_conflicts_candidate,search_ok_candidate,search_blowup_candidate,cpu_only_win_candidate,protocol_only_win_candidate,random_control_candidate,target_role_candidate,candidate_label,reference_label,family,control_type,scale,benchmark_role,symmetry_strength,instance_id,target_role,random_control,reference_search_ok,candidate_search_ok,reference_search_blowup,candidate_search_blowup,reference_cpu_only_win,candidate_cpu_only_win,reference_protocol_only_win,candidate_protocol_only_win,adapter_cached_decisions_delta_change_vs_reference,adapter_cached_conflicts_delta_change_vs_reference,adapter_cached_final_cpu_delta_change_vs_reference,adapter_cached_protocol_delta_change_vs_reference,adapter_plain_final_cpu_delta_change_vs_reference,adapter_plain_protocol_delta_change_vs_reference,warmup_cpu_time_change_vs_reference,warmup_conflict_count_change_vs_reference,warmup_decisions_change_vs_reference,event_state_l2_sum_change_vs_reference,event_state_nonzero_vars_change_vs_reference,event_adapter_graph_gate_evidence_change_vs_reference,adapter_inference_wall_time_change_vs_reference,plain_unguided_glucose_final_cpu_time_change_vs_reference,plain_unguided_glucose_final_decisions_change_vs_reference,plain_unguided_glucose_final_conflicts_change_vs_reference,cached_trace_no_adapter_final_final_cpu_time_change_vs_reference,cached_trace_no_adapter_final_final_decisions_change_vs_reference,cached_trace_no_adapter_final_final_conflicts_change_vs_reference,event_adapter_final_final_cpu_time_change_vs_reference,event_adapter_final_final_decisions_change_vs_reference,event_adapter_final_final_conflicts_change_vs_reference,search_ok_lost_vs_reference,search_ok_gained_vs_reference,new_blowup_vs_reference,hard_negative_lost_vs_reference,hard_negative_gained_vs_reference,anchor_lost_vs_reference,random_positive_candidate,subset_failure_positive_candidate,protocol_win_search_bad_candidate
1,k10_color9,base,0,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-87822.0,-81551.0,-1.1252,-1.0633556510925293,-1.3155699999999997,-0.9233662870179412,0.003222,1.0,8.0,136.93209838867188,90.0,0.6931471824645996,0.0618443489074707,4.27509,340861.0,314066.0,4.08472,321840.0,298649.0,2.95952,234018.0,217098.0,True,False,False,False,False,hard_negative,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-87822.0,-81551.0,-1.1252,-1.0633556510925293,-1.3155699999999997,-0.9233662870179412,0.003222,1.0,8.0,136.93209838867188,90.0,0.6931471824645996,0.0618443489074707,4.27509,340861.0,314066.0,4.08472,321840.0,298649.0,2.95952,234018.0,217098.0,True,False,False,False,False,hard_negative,v1_2_iter15,v1_2_iter15,complete_coloring,strong_symmetry,large,main,strong,k10_color9,hard_negative,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
1,k10_color9,base,1,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-87822.0,-81551.0,-1.0915199999999996,-1.0556163077545158,-1.1675299999999995,-0.5092869433967468,0.007463,1.0,8.0,136.93209838867188,90.0,0.6931471824645996,0.0359036922454834,4.17817,340861.0,314066.0,4.10216,321840.0,298649.0,3.01064,234018.0,217098.0,True,False,False,False,False,hard_negative,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-87822.0,-81551.0,-1.0915199999999996,-1.0556163077545158,-1.1675299999999995,-0.5092869433967468,0.007463,1.0,8.0,136.93209838867188,90.0,0.6931471824645996,0.0359036922454834,4.17817,340861.0,314066.0,4.10216,321840.0,298649.0,3.01064,234018.0,217098.0,True,False,False,False,False,hard_negative,v1_2_iter15,v1_2_iter15,complete_coloring,strong_symmetry,large,main,strong,k10_color9,hard_negative,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
1,k10_color9,base,2,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-87822.0,-81551.0,-0.90578,-0.9021360104370116,-2.06721,-0.5647973756487366,0.011048,1.0,8.0,136.93209838867188,90.0,0.6931471824645996,0.0036439895629882,4.33869,340861.0,314066.0,3.17726,321840.0,298649.0,2.27148,234018.0,217098.0,True,False,False,False,False,hard_negative,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-87822.0,-81551.0,-0.90578,-0.9021360104370116,-2.06721,-0.5647973756487366,0.011048,1.0,8.0,136.93209838867188,90.0,0.6931471824645996,0.0036439895629882,4.33869,340861.0,314066.0,3.17726,321840.0,298649.0,2.27148,234018.0,217098.0,True,False,False,False,False,hard_negative,v1_2_iter15,v1_2_iter15,complete_coloring,strong_symmetry,large,main,strong,k10_color9,hard_negative,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
1,k10_color9,perm_seed1730,0,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1730,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,46019.0,45457.0,0.5252700000000003,0.5871143489074715,-0.6598799999999994,-0.2679209970371117,0.003758,1.0,8.0,136.98228454589844,90.0,0.6931471824645996,0.0618443489074707,5.07886,413643.0,382655.0,3.89371,247778.0,229737.0,4.41898,293797.0,275194.0,False,True,False,True,False,hard_negative,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1730,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,46019.0,45457.0,0.5252700000000003,0.5871143489074715,-0.6598799999999994,-0.2679209970371117,0.003758,1.0,8.0,136.98228454589844,90.0,0.6931471824645996,0.0618443489074707,5.07886,413643.0,382655.0,3.89371,247778.0,229737.0,4.41898,293797.0,275194.0,False,True,False,True,False,hard_negative,v1_2_iter15,v1_2_iter15,complete_coloring,strong_symmetry,large,main,strong,k10_color9_perm1730,hard_negative,False,False,False,True,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True
1,k10_color9,perm_seed1730,1,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1730,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,46019.0,45457.0,0.1726100000000006,0.2085136922454848,-0.4068499999999995,0.2512644738308207,0.007671,1.0,8.0,136.98228454589844,90.0,0.6931471824645996,0.0359036922454834,4.88953,413643.0,382655.0,4.31007,247778.0,229737.0,4.48268,293797.0,275194.0,False,True,False,False,False,hard_negative,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1730,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,46019.0,45457.0,0.1726100000000006,0.2085136922454848,-0.4068499999999995,0.2512644738308207,0.007671,1.0,8.0,136.98228454589844,90.0,0.6931471824645996,0.0359036922454834,4.88953,413643.0,382655.0,4.31007,247778.0,229737.0,4.48268,293797.0,275194.0,False,True,False,False,False,hard_negative,v1_2_iter15,v1_2_iter15,complete_coloring,strong_symmetry,large,main,strong,k10_color9_perm1730,hard_negative,False,False,False,True,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
1,k10_color9,perm_seed1730,2,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1730,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,46019.0,45457.0,0.4398300000000001,0.443473989562988,-1.63822,-0.1389933796194196,0.0082,1.0,8.0,136.98228454589844,90.0,0.6931471824645996,0.0036439895629882,5.02559,413643.0,382655.0,2.94754,247778.0,229737.0,3.38737,293797.0,275194.0,False,True,False,True,False,hard_negative,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1730,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,46019.0,45457.0,0.4398300000000001,0.443473989562988,-1.63822,-0.1389933796194196,0.0082,1.0,8.0,136.98228454589844,90.0,0.6931471824645996,0.0036439895629882,5.02559,413643.0,382655.0,2.94754,247778.0,229737.0,3.38737,293797.0,275194.0,False,True,False,True,False,hard_negative,v1_2_iter15,v1_2_iter15,complete_coloring,strong_symmetry,large,main,strong,k10_color9_perm1730,hard_negative,False,False,False,True,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True
1,k10_color9,perm_seed1731,0,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1731,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-16019.0,-10993.0,-0.0155599999999997,0.0462843489074709,-0.0948999999999999,0.3006320059267287,0.007431,1.0,8.0,137.00555419921875,90.0,0.6931471824645996,0.0618443489074707,4.18717,340033.0,312592.0,4.10783,290369.0,269757.0,4.09227,274350.0,258764.0,True,False,False,False,False,hard_negative,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1731,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-16019.0,-10993.0,-0.0155599999999997,0.0462843489074709,-0.0948999999999999,0.3006320059267287,0.007431,1.0,8.0,137.00555419921875,90.0,0.6931471824645996,0.0618443489074707,4.18717,340033.0,312592.0,4.10783,290369.0,269757.0,4.09227,274350.0,258764.0,True,False,False,False,False,hard_negative,v1_2_iter15,v1_2_iter15,complete_coloring,strong_symmetry,large,main,strong,k10_color9_perm1731,hard_negative,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
1,k10_color9,perm_seed1731,1,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1731,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-16019.0,-10993.0,0.2472700000000003,0.2831736922454837,-0.0142299999999995,0.6394776892612581,0.003317,1.0,8.0,137.00555419921875,90.0,0.6931471824645996,0.0359036922454834,4.16088,340033.0,312592.0,3.89938,290369.0,269757.0,4.14665,274350.0,258764.0,True,False,False,False,False,hard_negative,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1731,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-16019.0,-10993.0,0.2472700000000003,0.2831736922454837,-0.0142299999999995,0.6394776892612581,0.003317,1.0,8.0,137.00555419921875,90.0,0.6931471824645996,0.0359036922454834,4.16088,340033.0,312592.0,3.89938,290369.0,269757.0,4.14665,274350.0,258764.0,True,False,False,False,False,hard_negative,v1_2_iter15,v1_2_iter15,complete_coloring,strong_symmetry,large,main,strong,k10_color9_perm1731,hard_negative,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
1,k10_color9,perm_seed1731,2,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1731,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-16019.0,-10993.0,0.09314,0.0967839895629882,-0.93214,0.5688561941329837,0.009992,1.0,8.0,137.00555419921875,90.0,0.6931471824645996,0.0036439895629882,4.12831,340033.0,312592.0,3.10303,290369.0,269757.0,3.19617,274350.0,258764.0,True,False,False,False,False,hard_negative,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k10_color9_perm1731,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,-16019.0,-10993.0,0.09314,0.0967839895629882,-0.93214,0.5688561941329837,0.009992,1.0,8.0,137.00555419921875,90.0,0.6931471824645996,0.0036439895629882,4.12831,340033.0,312592.0,3.10303,290369.0,269757.0,3.19617,274350.0,258764.0,True,False,False,False,False,hard_negative,v1_2_iter15,v1_2_iter15,complete_coloring,strong_symmetry,large,main,strong,k10_color9_perm1731,hard_negative,False,True,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
1,k8_color7,base,0,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k8_color7,complete_coloring,strong_symmetry,large,main,strong,56,372,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,49.0,76.0,-0.002658,0.0591863489074707,-0.0244599999999999,0.3665262807518243,0.002935,1.0,6.0,84.73548889160156,56.0,0.6931471824645996,0.0618443489074707,0.064908,6158.0,5600.0,0.043106,5946.0,5440.0,0.040448,5995.0,5516.0,False,True,True,False,False,other,v1_2_iter15,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_v1_2_iter15_canonical_low_warmup_wc1_per_instance.csv,k8_color7,complete_coloring,strong_symmetry,large,main,strong,56,372,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_2_WC1_HardNeg_Full/iter=15.pt,True,True,True,49.0,76.0,-0.002658,0.0591863489074707,-0.0244599999999999,0.3665262807518243,0.002935,1.0,6.0,84.73548889160156,56.0,0.6931471824645996,0.0618443489074707,0.064908,6158.0,5600.0,0.043106,5946.0,5440.0,0.040448,5995.0,5516.0,False,True,True,False,False,other,v1_2_iter15,v1_2_iter15,complete_coloring,strong_symmetry,large,main,strong,k8_color7,other,False,False,False,True,True,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
