family,instance_id,variant,base_instance_id,expected_result,num_vars,num_clauses,cnf_path,orbits_path,metadata_path,event_audit_role,symmetry_strength,control_type,scale,scale_key,benchmark_role,family_scale,variant_role,permutation_variant,source,split,source_manifest_name,source_manifest_path,canonical_source_priority,source_cnf_path,canonical_order_training_v1,canonical_clause_order,formula_equivalence_group,echosat_sampling_group_id,training_priority,valid_orbit_count,valid_orbit_vars,orbit_confidence_mean,orbit_confidence_max,split_cnf_path
complete_coloring,k10_color9,base,k10_color9,UNSATISFIABLE,90,775,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9.cnf,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9.orbits.json,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9.metadata.json,event,strong,strong_symmetry,large,v10_c9,main,complete_coloring:large,base,False,SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order; EchoSAT symmetry GRPO v1 canonical order,train,echosat_runtime_v12_canonical,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_runtime_v12_canonical_manifest.csv,2,/home/sunshixin/chenchao/my_rlaf/data/echosat_runtime_v12_canonical/complete_coloring/k10_color9.cnf,True,literal_abs_sign_then_clause_len_lexicographic,formula_equiv_k10_php_p10,formula_equiv_k10_php_p10,3,1,90,1.0,1.0,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9.cnf
complete_coloring,k10_color9_perm1730,perm_seed1730,k10_color9,UNSATISFIABLE,90,775,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9_perm1730.cnf,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9_perm1730.orbits.json,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9_perm1730.metadata.json,event,strong,strong_symmetry,large,v10_c9,main,complete_coloring:large,permutation_variant,True,SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order; EchoSAT symmetry GRPO v1 canonical order,train,echosat_runtime_v12_canonical,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_runtime_v12_canonical_manifest.csv,2,/home/sunshixin/chenchao/my_rlaf/data/echosat_runtime_v12_canonical/complete_coloring/k10_color9_perm1730.cnf,True,literal_abs_sign_then_clause_len_lexicographic,formula_equiv_k10_php_p10,formula_equiv_k10_php_p10,3,1,90,1.0,1.0,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9_perm1730.cnf
complete_coloring,k10_color9_perm1731,perm_seed1731,k10_color9,UNSATISFIABLE,90,775,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9_perm1731.cnf,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9_perm1731.orbits.json,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9_perm1731.metadata.json,event,strong,strong_symmetry,large,v10_c9,main,complete_coloring:large,permutation_variant,True,SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order; EchoSAT symmetry GRPO v1 canonical order,train,echosat_runtime_v12_canonical,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_runtime_v12_canonical_manifest.csv,2,/home/sunshixin/chenchao/my_rlaf/data/echosat_runtime_v12_canonical/complete_coloring/k10_color9_perm1731.cnf,True,literal_abs_sign_then_clause_len_lexicographic,formula_equiv_k10_php_p10,formula_equiv_k10_php_p10,3,1,90,1.0,1.0,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k10_color9_perm1731.cnf
complete_coloring,k9_color8,base,k9_color8,UNSATISFIABLE,72,549,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8.cnf,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8.orbits.json,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8.metadata.json,event,strong,strong_symmetry,large,v9_c8,main,complete_coloring:large,base,False,SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order; EchoSAT symmetry GRPO v1 canonical order,train,echosat_runtime_v12_canonical,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_runtime_v12_canonical_manifest.csv,2,/home/sunshixin/chenchao/my_rlaf/data/echosat_runtime_v12_canonical/complete_coloring/k9_color8.cnf,True,literal_abs_sign_then_clause_len_lexicographic,formula_equiv_k9_php_p9,formula_equiv_k9_php_p9,3,1,72,1.0,1.0,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8.cnf
complete_coloring,k9_color8_perm1730,perm_seed1730,k9_color8,UNSATISFIABLE,72,549,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8_perm1730.cnf,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8_perm1730.orbits.json,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8_perm1730.metadata.json,event,strong,strong_symmetry,large,v9_c8,main,complete_coloring:large,permutation_variant,True,SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order; EchoSAT symmetry GRPO v1 canonical order,train,echosat_runtime_v12_canonical,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_runtime_v12_canonical_manifest.csv,2,/home/sunshixin/chenchao/my_rlaf/data/echosat_runtime_v12_canonical/complete_coloring/k9_color8_perm1730.cnf,True,literal_abs_sign_then_clause_len_lexicographic,formula_equiv_k9_php_p9,formula_equiv_k9_php_p9,3,1,72,1.0,1.0,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8_perm1730.cnf
complete_coloring,k9_color8_perm1731,perm_seed1731,k9_color8,UNSATISFIABLE,72,549,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8_perm1731.cnf,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8_perm1731.orbits.json,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8_perm1731.metadata.json,event,strong,strong_symmetry,large,v9_c8,main,complete_coloring:large,permutation_variant,True,SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order; EchoSAT symmetry GRPO v1 canonical order,train,echosat_runtime_v12_canonical,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_runtime_v12_canonical_manifest.csv,2,/home/sunshixin/chenchao/my_rlaf/data/echosat_runtime_v12_canonical/complete_coloring/k9_color8_perm1731.cnf,True,literal_abs_sign_then_clause_len_lexicographic,formula_equiv_k9_php_p9,formula_equiv_k9_php_p9,3,1,72,1.0,1.0,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k9_color8_perm1731.cnf
complete_coloring,k4_color3,base,k4_color3,UNSATISFIABLE,12,34,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3.cnf,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3.orbits.json,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3.metadata.json,event,strong,strong_symmetry,small,v4_c3,main,complete_coloring:small,base,False,SAT-b-inspired symmetry stress set; EchoSAT symmetry GRPO v1 canonical order,train,symmetry_grpo_speedup_full,/home/sunshixin/chenchao/my_rlaf/runs/analysis/symmetry_grpo_speedup_full_manifest.csv,1,/home/sunshixin/chenchao/my_rlaf/data/symmetry_runtime_benchmark_v2/complete_coloring/k4_color3.cnf,True,literal_abs_sign_then_clause_len_lexicographic,,k4_color3,0,1,12,1.0,1.0,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3.cnf
complete_coloring,k4_color3_perm1730,perm_seed1730,k4_color3,UNSATISFIABLE,12,34,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1730.cnf,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1730.orbits.json,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1730.metadata.json,event,strong,strong_symmetry,small,v4_c3,main,complete_coloring:small,permutation_variant,True,SAT-b-inspired symmetry stress set; EchoSAT symmetry GRPO v1 canonical order,train,symmetry_grpo_speedup_full,/home/sunshixin/chenchao/my_rlaf/runs/analysis/symmetry_grpo_speedup_full_manifest.csv,1,/home/sunshixin/chenchao/my_rlaf/data/symmetry_runtime_benchmark_v2/complete_coloring/k4_color3_perm1730.cnf,True,literal_abs_sign_then_clause_len_lexicographic,,k4_color3,0,1,12,1.0,1.0,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1730.cnf
complete_coloring,k4_color3_perm1731,perm_seed1731,k4_color3,UNSATISFIABLE,12,34,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1731.cnf,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1731.orbits.json,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1731.metadata.json,event,strong,strong_symmetry,small,v4_c3,main,complete_coloring:small,permutation_variant,True,SAT-b-inspired symmetry stress set; EchoSAT symmetry GRPO v1 canonical order,train,symmetry_grpo_speedup_full,/home/sunshixin/chenchao/my_rlaf/runs/analysis/symmetry_grpo_speedup_full_manifest.csv,1,/home/sunshixin/chenchao/my_rlaf/data/symmetry_runtime_benchmark_v2/complete_coloring/k4_color3_perm1731.cnf,True,literal_abs_sign_then_clause_len_lexicographic,,k4_color3,0,1,12,1.0,1.0,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1731.cnf
complete_coloring,k4_color3_perm1732,perm_seed1732,k4_color3,UNSATISFIABLE,12,34,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1732.cnf,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1732.orbits.json,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1732.metadata.json,event,strong,strong_symmetry,small,v4_c3,main,complete_coloring:small,permutation_variant,True,symmetry GRPO generated ladder; EchoSAT symmetry GRPO v1 canonical order,train,symmetry_grpo_speedup_full,/home/sunshixin/chenchao/my_rlaf/runs/analysis/symmetry_grpo_speedup_full_manifest.csv,1,/home/sunshixin/chenchao/my_rlaf/data/symmetry_grpo_speedup_generated_ladder/complete_coloring/k4_color3_perm1732.cnf,True,literal_abs_sign_then_clause_len_lexicographic,,k4_color3,0,1,12,1.0,1.0,/home/sunshixin/chenchao/my_rlaf/data/echosat_symmetry_grpo_v1_canonical/cnf/complete_coloring/k4_color3_perm1732.cnf
