family,base_instance_id,method,repeats,variants,rows,solved_rows,known_expected_rows,known_expected_match_rows,protocol_supported_rows,events_available_rows,mean_protocol_accounted_time,median_protocol_accounted_time,std_protocol_accounted_time,mean_final_cpu_time,median_final_cpu_time,std_final_cpu_time,mean_warmup_cpu_time,mean_adapter_inference_wall_time,mean_event_state_nonzero_vars,graph_gate_open_rows
complete_coloring,k10_color9,plain_unguided_glucose,3,3,9,9,9,9,9,0,1.6584344444444445,1.60986,0.08795319594976513,1.6584344444444445,1.60986,0.08795319594976513,0.0,0.0,0.0,0
complete_coloring,k10_color9,neutral_weighted_glucose,3,3,9,9,9,9,9,0,1.4796522222222221,1.48416,0.10633360049600708,1.4796522222222221,1.48416,0.10633360049600708,0.0,0.0,0.0,0
complete_coloring,k10_color9,static_weighted_glucose,3,3,9,9,9,9,9,0,1.606175282007853,1.6314409074401854,0.06607019305034685,1.5036733333333332,1.49434,0.04894597966125517,0.0,0.0,0.0,0
complete_coloring,k10_color9,cached_trace_no_adapter_final,3,3,9,9,9,9,9,9,1.6077135688689375,1.6325412404716089,0.06619489456221603,1.5036733333333332,1.49434,0.04894597966125517,0.001007888888888889,0.0,90.0,9
complete_coloring,k10_color9,event_adapter_final,3,3,9,9,9,9,9,9,1.8206942196817222,1.826472618742831,0.15497698183057218,1.7154133333333332,1.74189,0.14943899716941356,0.001007888888888889,0.0012406508127848308,90.0,9
php,php_p10_h9,plain_unguided_glucose,3,3,9,9,9,9,9,0,1.4946633333333332,1.50031,0.133004937314372,1.4946633333333332,1.50031,0.133004937314372,0.0,0.0,0.0,0
php,php_p10_h9,neutral_weighted_glucose,3,3,9,9,9,9,9,0,1.5334766666666666,1.54135,0.12225860348049132,1.5334766666666666,1.54135,0.12225860348049132,0.0,0.0,0.0,0
php,php_p10_h9,static_weighted_glucose,3,3,9,9,9,9,9,0,1.5193808375634088,1.5256138906097412,0.11616380705146943,1.416878888888889,1.44146,0.10889927266107481,0.0,0.0,0.0,0
php,php_p10_h9,cached_trace_no_adapter_final,3,3,9,9,9,9,9,9,1.520545499757842,1.5267021405837387,0.11627167317858951,1.416878888888889,1.44146,0.10889927266107481,0.0010164444444444444,0.0,90.0,9
php,php_p10_h9,event_adapter_final,3,3,9,9,9,9,9,9,1.516075039459516,1.4985858632713556,0.09581975048558171,1.4111677777777778,1.38199,0.08768623691574662,0.0010164444444444444,0.0012406508127848308,90.0,9
random_3sat_control,random_3sat_control_v260_c1113_seed3306,plain_unguided_glucose,3,3,9,9,0,0,9,0,2.0419022222222223,1.98388,0.3129116381975021,2.0419022222222223,1.98388,0.3129116381975021,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v260_c1113_seed3306,neutral_weighted_glucose,3,3,9,9,0,0,9,0,2.4942655555555557,2.50752,0.1760935661169304,2.4942655555555557,2.50752,0.1760935661169304,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v260_c1113_seed3306,static_weighted_glucose,3,3,9,9,0,0,9,0,5.187509603296915,2.506001047973633,4.083104179873492,2.3921755555555553,2.38253,0.054260834657953595,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v260_c1113_seed3306,cached_trace_no_adapter_final,3,3,9,9,0,0,9,9,5.188823843951983,2.5072526309421588,4.083167971591701,2.3921755555555553,2.38253,0.054260834657953595,0.001105222222222222,0.0,260.0,9
random_3sat_control,random_3sat_control_v260_c1113_seed3306,event_adapter_final,3,3,9,9,0,0,9,9,5.389180079167912,2.741617737219624,4.0523597635342705,2.5914844444444447,2.58161,0.03550570239803427,0.001105222222222222,0.0010473463270399305,260.0,9
tseitin_complete,tseitin_k8_odd,plain_unguided_glucose,3,3,9,9,9,9,9,0,2.871411111111111,2.88004,0.05542875346885525,2.871411111111111,2.88004,0.05542875346885525,0.0,0.0,0.0,0
tseitin_complete,tseitin_k8_odd,neutral_weighted_glucose,3,3,9,9,9,9,9,0,3.0889633333333335,3.03719,0.25484825867562844,3.0889633333333335,3.03719,0.25484825867562844,0.0,0.0,0.0,0
tseitin_complete,tseitin_k8_odd,static_weighted_glucose,3,3,9,9,9,9,9,0,10.912250468097263,10.905598026428223,0.5377067071719716,2.7312522222222224,2.83879,0.37255854784106684,0.0,0.0,0.0,0
tseitin_complete,tseitin_k8_odd,cached_trace_no_adapter_final,3,3,9,9,9,9,9,9,10.913572398680692,10.906926859505921,0.5376690478997741,2.7312522222222224,2.83879,0.37255854784106684,0.0012142222222222222,0.0,28.0,9
tseitin_complete,tseitin_k8_odd,event_adapter_final,3,3,9,9,9,9,9,9,10.14255880270291,10.432450798183076,0.919567109103026,1.9595778888888888,2.4094,0.8491007028766441,0.0012142222222222222,0.0006607373555501302,28.0,9
vertex_cover_torus,vertex_cover_torus_4x5_k8_event,plain_unguided_glucose,3,3,9,9,9,9,9,0,9.937800000000001,9.95416,0.027182770278248256,9.937800000000001,9.95416,0.027182770278248256,0.0,0.0,0.0,0
vertex_cover_torus,vertex_cover_torus_4x5_k8_event,neutral_weighted_glucose,3,3,9,0,9,0,9,0,9.94381888888889,9.9487,0.015240402262115968,9.94381888888889,9.9487,0.015240402262115968,0.0,0.0,0.0,0
vertex_cover_torus,vertex_cover_torus_4x5_k8_event,static_weighted_glucose,3,3,9,0,9,0,9,0,18.134383801430594,18.08422491157532,0.3351746336561582,9.953385555555554,9.95406,0.002641046720105782,0.0,0.0,0.0,0
vertex_cover_torus,vertex_cover_torus_4x5_k8_event,cached_trace_no_adapter_final,3,3,9,0,9,0,9,9,23.11373038010297,23.063190286573956,0.33582532188985453,9.953385555555554,9.95406,0.002641046720105782,4.979247777777778,0.0,20.0,9
vertex_cover_torus,vertex_cover_torus_4x5_k8_event,event_adapter_final,3,3,9,0,9,0,9,9,23.112526673014077,23.06162616250474,0.3380246913328817,9.951521111111111,9.95393,0.0049622863793928095,4.979247777777778,0.0006607373555501302,20.0,9
