family,method,rows,families,solved_instances,known_expected_instances,known_expected_match_instances,protocol_supported_instances,events_available_instances,mean_protocol_accounted_time,median_protocol_accounted_time,mean_protocol_wall_time,mean_final_cpu_time,median_final_cpu_time,mean_final_wall_time,mean_final_decisions,mean_final_conflicts,mean_static_inference_wall_time,mean_warmup_cpu_time,mean_warmup_wall_time,mean_event_attach_wall_time,mean_adapter_inference_wall_time,mean_event_state_nonzero_vars,mean_event_state_l2_sum
complete_coloring,plain_unguided_glucose,9,1,9,9,9,9,0,1.6584344444444445,1.60986,1.6998887916690566,1.6584344444444445,1.60986,1.6998887916690566,346749.3333333333,320119.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,neutral_weighted_glucose,9,1,9,9,9,9,0,1.4796522222222221,1.48416,1.5159124397776194,1.4796522222222221,1.48416,1.5159124397776194,300247.6666666667,277652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,static_weighted_glucose,9,1,9,9,9,9,0,1.606175282007853,1.6314409074401854,1.6345079303460404,1.5036733333333332,1.49434,1.5320059816715204,322264.0,297914.0,0.10250194867451985,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,cached_trace_no_adapter_final,9,1,9,9,9,9,9,1.6077135688689375,1.6325412404716089,1.6394112451105483,1.5036733333333332,1.49434,1.5320059816715204,322264.0,297914.0,0.10250194867451985,0.001007888888888889,0.00437291679231243,0.0005303979721955127,0.0,90.0,136.9129638671875
complete_coloring,event_adapter_final,9,1,9,9,9,9,9,1.8206942196817222,1.826472618742831,1.8591414419287402,1.7154133333333332,1.74189,1.7504955276769276,366076.6666666667,341104.6666666667,0.10250194867451985,0.001007888888888889,0.00437291679231243,0.0005303979721955127,0.0012406508127848308,90.0,136.9129638671875
php,plain_unguided_glucose,9,1,9,9,9,9,0,1.4946633333333332,1.50031,1.522126657435567,1.4946633333333332,1.50031,1.522126657435567,321752.0,296362.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
php,neutral_weighted_glucose,9,1,9,9,9,9,0,1.5334766666666666,1.54135,1.5786807037786477,1.5334766666666666,1.54135,1.5786807037786477,286370.0,266481.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
php,static_weighted_glucose,9,1,9,9,9,9,0,1.5193808375634088,1.5256138906097412,1.5485672586623371,1.416878888888889,1.44146,1.4460653099878173,280475.3333333333,260105.66666666666,0.10250194867451985,0.0,0.0,0.0,0.0,0.0,0.0
php,cached_trace_no_adapter_final,9,1,9,9,9,9,9,1.520545499757842,1.5267021405837387,1.552887337631546,1.416878888888889,1.44146,1.4460653099878173,280475.3333333333,260105.66666666666,0.10250194867451985,0.0010164444444444444,0.004171861219219863,0.00014821774998886717,0.0,90.0,136.9952189127604
php,event_adapter_final,9,1,9,9,9,9,9,1.516075039459516,1.4985858632713556,1.5646394007684041,1.4111677777777778,1.38199,1.4565767223118908,307448.3333333333,285534.6666666667,0.10250194867451985,0.0010164444444444444,0.004171861219219863,0.00014821774998886717,0.0012406508127848308,90.0,136.9952189127604
random_3sat_control,plain_unguided_glucose,9,1,9,0,0,9,0,2.0419022222222223,1.98388,2.0762016203435554,2.0419022222222223,1.98388,2.0762016203435554,181141.66666666666,158258.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,neutral_weighted_glucose,9,1,9,0,0,9,0,2.4942655555555557,2.50752,2.570811773132947,2.4942655555555557,2.50752,2.570811773132947,196344.66666666666,171192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,static_weighted_glucose,9,1,9,0,0,9,0,5.187509603296915,2.506001047973633,5.2291833672077495,2.3921755555555553,2.38253,2.4338493194663897,224430.66666666666,203490.66666666666,2.79533404774136,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,cached_trace_no_adapter_final,9,1,9,0,0,9,9,5.188823843951983,2.5072526309421588,5.234465098525915,2.3921755555555553,2.38253,2.4338493194663897,224430.66666666666,203490.66666666666,2.79533404774136,0.001105222222222222,0.005072712885319359,0.00020901843284567198,0.0,260.0,397.05397542317706
random_3sat_control,event_adapter_final,9,1,9,0,0,9,9,5.389180079167912,2.741617737219624,5.455069843278681,2.5914844444444447,2.58161,2.6534067178921155,278156.3333333333,245502.0,2.79533404774136,0.001105222222222222,0.005072712885319359,0.00020901843284567198,0.0010473463270399305,260.0,397.05397542317706
tseitin_complete,plain_unguided_glucose,9,1,9,9,9,9,0,2.871411111111111,2.88004,2.926383995347553,2.871411111111111,2.88004,2.926383995347553,801668.6666666666,521153.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tseitin_complete,neutral_weighted_glucose,9,1,9,9,9,9,0,3.0889633333333335,3.03719,3.1988176064332947,3.0889633333333335,3.03719,3.1988176064332947,811040.3333333334,527320.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tseitin_complete,static_weighted_glucose,9,1,9,9,9,9,0,10.912250468097263,10.905598026428223,10.969983060727827,2.7312522222222224,2.83879,2.7889848148527867,790959.3333333334,513509.3333333333,8.18099824587504,0.0,0.0,0.0,0.0,0.0,0.0
tseitin_complete,cached_trace_no_adapter_final,9,1,9,9,9,9,9,10.913572398680692,10.906926859505921,10.974729588643337,2.7312522222222224,2.83879,2.7889848148527867,790959.3333333334,513509.3333333333,8.18099824587504,0.0012142222222222222,0.004638819554303255,0.00010770836120678319,0.0,28.0,44.474500020345054
tseitin_complete,event_adapter_final,9,1,9,9,9,9,9,10.14255880270291,10.432450798183076,10.180147557364156,1.9595778888888888,2.4094,1.993742046218055,975393.3333333334,785940.0,8.18099824587504,0.0012142222222222222,0.004638819554303255,0.00010770836120678319,0.0006607373555501302,28.0,44.474500020345054
vertex_cover_torus,plain_unguided_glucose,9,1,9,9,9,9,0,9.937800000000001,9.95416,10.292045018545146,9.937800000000001,9.95416,10.292045018545146,23.333333333333332,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vertex_cover_torus,neutral_weighted_glucose,9,1,0,9,0,9,0,9.94381888888889,9.9487,10.272264791639625,9.94381888888889,9.9487,10.272264791639625,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vertex_cover_torus,static_weighted_glucose,9,1,0,9,0,9,0,18.134383801430594,18.08422491157532,18.403579028219813,9.953385555555554,9.95406,10.222580782344771,3.0,1.0,8.18099824587504,0.0,0.0,0.0,0.0,0.0,0.0
vertex_cover_torus,cached_trace_no_adapter_final,9,1,0,9,0,9,9,23.11373038010297,23.063190286573956,23.57332407901736,9.953385555555554,9.95406,10.222580782344771,3.0,1.0,8.18099824587504,4.979247777777778,5.169646249902952,9.880089459733831e-05,0.0,20.0,31.456544876098633
vertex_cover_torus,event_adapter_final,9,1,0,9,0,9,9,23.112526673014077,23.06162616250474,23.584516719022456,9.951521111111111,9.95393,10.233112684994316,3.0,1.0,8.18099824587504,4.979247777777778,5.169646249902952,9.880089459733831e-05,0.0006607373555501302,20.0,31.456544876098633
__overall__,plain_unguided_glucose,45,5,45,36,36,45,0,3.6008422222222225,1.98388,3.7033292166681755,3.6008422222222225,1.98388,3.7033292166681755,330267.0,259183.46666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__overall__,neutral_weighted_glucose,45,5,36,36,27,45,0,3.7080353333333336,2.50752,3.827297462952427,3.7080353333333336,2.50752,3.827297462952427,318802.13333333336,248529.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__overall__,static_weighted_glucose,45,5,36,36,27,45,0,7.471939998479208,2.506001047973633,7.557164129032754,3.599473111111111,2.32333,3.684697241664657,323626.4666666667,255004.13333333333,3.872466887368096,0.0,0.0,0.0,0.0,0.0,0.0
__overall__,cached_trace_no_adapter_final,45,5,36,36,27,45,45,8.468877138272486,2.5072526309421588,8.59496346978574,3.599473111111111,2.32333,3.684697241664657,323626.4666666667,255004.13333333333,3.872466887368096,0.9967183111111112,1.0375805120708215,0.00021882868216683467,0.0,97.6,149.37864061991374
__overall__,event_adapter_final,45,5,36,36,27,45,45,8.396206962805227,2.741617737219624,8.528702992472487,3.5258329111111113,2.4094,3.617466739818661,385415.5333333333,331616.4666666667,3.872466887368096,0.9967183111111112,1.0375805120708215,0.00021882868216683467,0.0009700245327419704,97.6,149.37864061991374
