method,family,control_type,scale,benchmark_role,solver_path_role,rows,base_instances,solved_rows,unsolved_rows,indeterminate_rows,known_expected_rows,unknown_expected_rows,known_expected_match_rows,known_expected_wrong_rows,mean_final_cpu_time,median_final_cpu_time,mean_protocol_accounted_time,median_protocol_accounted_time
cached_trace_no_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,1.5036733333333332,1.49434,1.6077135688689375,1.6325412404716089
cached_trace_no_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,1.416878888888889,1.44146,1.520545499757842,1.5267021405837387
cached_trace_no_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,9,1,9,0,0,0,9,0,0,2.3921755555555553,2.38253,5.188823843951983,2.5072526309421588
cached_trace_no_adapter_final,tseitin_complete,strong_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,2.7312522222222224,2.83879,10.913572398680692,10.906926859505921
cached_trace_no_adapter_final,vertex_cover_torus,strong_symmetry,stress,main,patched_pretrue_main,9,1,0,9,9,9,0,0,9,9.953385555555554,9.95406,23.11373038010297,23.063190286573956
event_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,1.7154133333333332,1.74189,1.8206942196817222,1.826472618742831
event_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,1.4111677777777778,1.38199,1.516075039459516,1.4985858632713556
event_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,9,1,9,0,0,0,9,0,0,2.5914844444444447,2.58161,5.389180079167912,2.741617737219624
event_adapter_final,tseitin_complete,strong_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,1.9595778888888888,2.4094,10.14255880270291,10.432450798183076
event_adapter_final,vertex_cover_torus,strong_symmetry,stress,main,patched_pretrue_main,9,1,0,9,9,9,0,0,9,9.951521111111111,9.95393,23.112526673014077,23.06162616250474
neutral_weighted_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,1.4796522222222221,1.48416,1.4796522222222221,1.48416
neutral_weighted_glucose,php,strong_symmetry,large,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,1.5334766666666666,1.54135,1.5334766666666666,1.54135
neutral_weighted_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,9,1,9,0,0,0,9,0,0,2.4942655555555557,2.50752,2.4942655555555557,2.50752
neutral_weighted_glucose,tseitin_complete,strong_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,3.0889633333333335,3.03719,3.0889633333333335,3.03719
neutral_weighted_glucose,vertex_cover_torus,strong_symmetry,stress,main,patched_pretrue_main,9,1,0,9,9,9,0,0,9,9.94381888888889,9.9487,9.94381888888889,9.9487
plain_unguided_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,1.6584344444444445,1.60986,1.6584344444444445,1.60986
plain_unguided_glucose,php,strong_symmetry,large,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,1.4946633333333332,1.50031,1.4946633333333332,1.50031
plain_unguided_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,9,1,9,0,0,0,9,0,0,2.0419022222222223,1.98388,2.0419022222222223,1.98388
plain_unguided_glucose,tseitin_complete,strong_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,2.871411111111111,2.88004,2.871411111111111,2.88004
plain_unguided_glucose,vertex_cover_torus,strong_symmetry,stress,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,9.937800000000001,9.95416,9.937800000000001,9.95416
static_weighted_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,1.5036733333333332,1.49434,1.606175282007853,1.6314409074401854
static_weighted_glucose,php,strong_symmetry,large,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,1.416878888888889,1.44146,1.5193808375634088,1.5256138906097412
static_weighted_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,9,1,9,0,0,0,9,0,0,2.3921755555555553,2.38253,5.187509603296915,2.506001047973633
static_weighted_glucose,tseitin_complete,strong_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,2.7312522222222224,2.83879,10.912250468097263,10.905598026428223
static_weighted_glucose,vertex_cover_torus,strong_symmetry,stress,main,patched_pretrue_main,9,1,0,9,9,9,0,0,9,9.953385555555554,9.95406,18.134383801430594,18.08422491157532
cached_trace_no_adapter_final,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,45,5,36,9,9,36,9,27,9,3.599473111111111,2.32333,8.468877138272486,2.5072526309421588
event_adapter_final,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,45,5,36,9,9,36,9,27,9,3.5258329111111113,2.4094,8.396206962805227,2.741617737219624
neutral_weighted_glucose,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,45,5,36,9,9,36,9,27,9,3.7080353333333336,2.50752,3.7080353333333336,2.50752
plain_unguided_glucose,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,45,5,45,0,0,36,9,36,0,3.6008422222222225,1.98388,3.6008422222222225,1.98388
static_weighted_glucose,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,45,5,36,9,9,36,9,27,9,3.599473111111111,2.32333,7.471939998479208,2.506001047973633
