pair_id,repeat_id,base_instance_id,variant,plain_method_count,neutral_method_count,plain_final_result,neutral_final_result,plain_final_solved,neutral_final_solved,plain_final_decisions,neutral_final_decisions,plain_final_conflicts,neutral_final_conflicts,plain_final_cpu_time,neutral_final_cpu_time,final_cpu_time_delta,result_match,solved_match,decisions_match,conflicts_match,accepted,rejection_reason
repeat=0|base=dominating_set_hex_3x5_s3|variant=base,0,dominating_set_hex_3x5_s3,base,1,1,SATISFIABLE,SATISFIABLE,True,True,6,6,0,0,0.002235,0.002209,-2.599999999999998e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1730,0,dominating_set_hex_3x5_s3,perm_seed1730,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002131,0.002162,3.099999999999978e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1731,0,dominating_set_hex_3x5_s3,perm_seed1731,1,1,SATISFIABLE,SATISFIABLE,True,True,5,5,0,0,0.002313,0.002221,-9.200000000000007e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1732,0,dominating_set_hex_3x5_s3,perm_seed1732,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002412,0.002445,3.300000000000004e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1733,0,dominating_set_hex_3x5_s3,perm_seed1733,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002384,0.002277,-0.00010699999999999989,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1734,0,dominating_set_hex_3x5_s3,perm_seed1734,1,1,SATISFIABLE,SATISFIABLE,True,True,5,5,1,1,0.002605,0.002298,-0.000307,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1735,0,dominating_set_hex_3x5_s3,perm_seed1735,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002295,0.00229,-5.00000000000023e-06,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1736,0,dominating_set_hex_3x5_s3,perm_seed1736,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002115,0.002196,8.099999999999991e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1737,0,dominating_set_hex_3x5_s3,perm_seed1737,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002188,0.002164,-2.3999999999999716e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1738,0,dominating_set_hex_3x5_s3,perm_seed1738,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002107,0.002252,0.00014500000000000016,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1739,0,dominating_set_hex_3x5_s3,perm_seed1739,1,1,SATISFIABLE,SATISFIABLE,True,True,10,10,2,2,0.002253,0.002355,0.0001020000000000001,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1740,0,dominating_set_hex_3x5_s3,perm_seed1740,1,1,SATISFIABLE,SATISFIABLE,True,True,2,2,0,0,0.002421,0.002387,-3.4000000000000176e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1741,0,dominating_set_hex_3x5_s3,perm_seed1741,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002289,0.002501,0.00021200000000000038,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1742,0,dominating_set_hex_3x5_s3,perm_seed1742,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002555,0.002333,-0.00022199999999999998,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1743,0,dominating_set_hex_3x5_s3,perm_seed1743,1,1,SATISFIABLE,SATISFIABLE,True,True,6,6,0,0,0.002348,0.002274,-7.399999999999985e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1744,0,dominating_set_hex_3x5_s3,perm_seed1744,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002336,0.002294,-4.199999999999994e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1745,0,dominating_set_hex_3x5_s3,perm_seed1745,1,1,SATISFIABLE,SATISFIABLE,True,True,5,5,1,1,0.002139,0.002199,6.000000000000016e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=base,0,dominating_set_hex_3x6_s4,base,1,1,SATISFIABLE,SATISFIABLE,True,True,8,8,0,0,0.038419,0.037903,-0.0005160000000000026,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1730,0,dominating_set_hex_3x6_s4,perm_seed1730,1,1,SATISFIABLE,SATISFIABLE,True,True,7,7,0,0,0.040919,0.040919,0.0,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1731,0,dominating_set_hex_3x6_s4,perm_seed1731,1,1,SATISFIABLE,SATISFIABLE,True,True,13,13,2,2,0.038421,0.03846,3.900000000000431e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1732,0,dominating_set_hex_3x6_s4,perm_seed1732,1,1,SATISFIABLE,SATISFIABLE,True,True,11,11,1,1,0.03731,0.036954,-0.00035600000000000215,True,True,True,True,True,
